"main", "78", "ReadersWriters.java:69", "Line Step", " file=ReadersWriters.java, line=69"
"main", "79", "ReadersWriters.java:69", "Field Write", " context=Writer:3, d=Database:1"
"main", "80", "ReadersWriters.java:70", "Line Step", " file=ReadersWriters.java, line=70"
"main", "81", "ReadersWriters.java:70", "Field Write", " context=Writer:3, x=100"
"main", "82", "ReadersWriters.java:71", "Line Step", " file=ReadersWriters.java, line=71"
"main", "83", "ReadersWriters.java:71", "Method Exit", " returner=Writer:3#Writer:3, value=<void>"
"main", "84", "ReadersWriters.java:15", "Method Returned", " "
"main", "85", "ReadersWriters.java:15", "Line Step", " file=ReadersWriters.java, line=15"
"main", "86", "ReadersWriters.java:15", "Variable Write", " context=ReadersWriters#main:1, w3=Writer:3"
"main", "87", "ReadersWriters.java:16", "Line Step", " file=ReadersWriters.java, line=16"
"main", "88", "ReadersWriters.java:16", "New Object", " object=Writer:4"
"main", "89", "ReadersWriters.java:16", "Method Call", " caller=ReadersWriters#main:1, target=Writer:4#Writer:4"
"main", "90", "ReadersWriters.java:68", "Method Entered", " "
"main", "91", "ReadersWriters.java:68", "Variable Write", " context=Writer:4#Writer:4, x=1000"
"main", "92", "ReadersWriters.java:68", "Variable Write", " context=Writer:4#Writer:4, d=Database:1"
"main", "93", "ReadersWriters.java:68", "Line Step", " file=ReadersWriters.java, line=68"
"main", "94", "ReadersWriters.java:69", "Line Step", " file=ReadersWriters.java, line=69"
"main", "95", "ReadersWriters.java:69", "Field Write", " context=Writer:4, d=Database:1"
"main", "96", "ReadersWriters.java:70", "Line Step", " file=ReadersWriters.java, line=70"
"main", "97", "ReadersWriters.java:70", "Field Write", " context=Writer:4, x=1000"
"main", "98", "ReadersWriters.java:71", "Line Step", " file=ReadersWriters.java, line=71"
"main", "99", "ReadersWriters.java:71", "Method Exit", " returner=Writer:4#Writer:4, value=<void>"
"main", "100", "ReadersWriters.java:16", "Method Returned", " "
"main", "101", "ReadersWriters.java:16", "Line Step", " file=ReadersWriters.java, line=16"
"main", "102", "ReadersWriters.java:16", "Variable Write", " context=ReadersWriters#main:1, w4=Writer:4"
"main", "103", "ReadersWriters.java:17", "Line Step", " file=ReadersWriters.java, line=17"
"main", "104", "ReadersWriters.java:17", "New Object", " object=Writer:5"
"main", "105", "ReadersWriters.java:17", "Method Call", " caller=ReadersWriters#main:1, target=Writer:5#Writer:5"
"main", "106", "ReadersWriters.java:68", "Method Entered", " "
"main", "107", "ReadersWriters.java:68", "Variable Write", " context=Writer:5#Writer:5, x=10000"
"main", "108", "ReadersWriters.java:68", "Variable Write", " context=Writer:5#Writer:5, d=Database:1"
"main", "109", "ReadersWriters.java:68", "Line Step", " file=ReadersWriters.java, line=68"
"main", "110", "ReadersWriters.java:69", "Line Step", " file=ReadersWriters.java, line=69"
"main", "111", "ReadersWriters.java:69", "Field Write", " context=Writer:5, d=Database:1"
"main", "112", "ReadersWriters.java:70", "Line Step", " file=ReadersWriters.java, line=70"
"main", "113", "ReadersWriters.java:70", "Field Write", " context=Writer:5, x=10000"
"main", "114", "ReadersWriters.java:71", "Line Step", " file=ReadersWriters.java, line=71"
"main", "115", "ReadersWriters.java:71", "Method Exit", " returner=Writer:5#Writer:5, value=<void>"
"main", "116", "ReadersWriters.java:17", "Method Returned", " "
"main", "117", "ReadersWriters.java:17", "Line Step", " file=ReadersWriters.java, line=17"
"main", "118", "ReadersWriters.java:17", "Variable Write", " context=ReadersWriters#main:1, w5=Writer:5"
"main", "119", "ReadersWriters.java:18", "Line Step", " file=ReadersWriters.java, line=18"
"main", "120", "SYSTEM", "Type Load", " class=Reader"
"main", "121", "ReadersWriters.java:18", "New Object", " object=Reader:1"
"main", "122", "ReadersWriters.java:18", "Method Call", " caller=ReadersWriters#main:1, target=Reader:1#Reader:1"
"main", "123", "ReadersWriters.java:50", "Method Entered", " "
"main", "124", "ReadersWriters.java:50", "Variable Write", " context=Reader:1#Reader:1, d=Database:1"
"main", "125", "ReadersWriters.java:50", "Line Step", " file=ReadersWriters.java, line=50"
"main", "126", "ReadersWriters.java:51", "Line Step", " file=ReadersWriters.java, line=51"
"main", "127", "ReadersWriters.java:51", "Field Write", " context=Reader:1, d=Database:1"
"main", "128", "ReadersWriters.java:52", "Line Step", " file=ReadersWriters.java, line=52"
"main", "129", "ReadersWriters.java:52", "Method Exit", " returner=Reader:1#Reader:1, value=<void>"
"main", "130", "ReadersWriters.java:18", "Method Returned", " "
"main", "131", "ReadersWriters.java:18", "Line Step", " file=ReadersWriters.java, line=18"
"main", "132", "ReadersWriters.java:18", "Variable Write", " context=ReadersWriters#main:1, r1=Reader:1"
"main", "133", "ReadersWriters.java:19", "Line Step", " file=ReadersWriters.java, line=19"
"main", "134", "ReadersWriters.java:19", "New Object", " object=Reader:2"
"main", "135", "ReadersWriters.java:19", "Method Call", " caller=ReadersWriters#main:1, target=Reader:2#Reader:2"
"main", "136", "ReadersWriters.java:50", "Method Entered", " "
"main", "137", "ReadersWriters.java:50", "Variable Write", " context=Reader:2#Reader:2, d=Database:1"
"main", "138", "ReadersWriters.java:50", "Line Step", " file=ReadersWriters.java, line=50"
"main", "139", "ReadersWriters.java:51", "Line Step", " file=ReadersWriters.java, line=51"
"main", "140", "ReadersWriters.java:51", "Field Write", " context=Reader:2, d=Database:1"
"main", "141", "ReadersWriters.java:52", "Line Step", " file=ReadersWriters.java, line=52"
"main", "142", "ReadersWriters.java:52", "Method Exit", " returner=Reader:2#Reader:2, value=<void>"
"main", "143", "ReadersWriters.java:19", "Method Returned", " "
"main", "144", "ReadersWriters.java:19", "Line Step", " file=ReadersWriters.java, line=19"
"main", "145", "ReadersWriters.java:19", "Variable Write", " context=ReadersWriters#main:1, r2=Reader:2"
"main", "146", "ReadersWriters.java:20", "Line Step", " file=ReadersWriters.java, line=20"
"main", "147", "ReadersWriters.java:20", "New Object", " object=Reader:3"
"main", "148", "ReadersWriters.java:20", "Method Call", " caller=ReadersWriters#main:1, target=Reader:3#Reader:3"
"main", "149", "ReadersWriters.java:50", "Method Entered", " "
"main", "150", "ReadersWriters.java:50", "Variable Write", " context=Reader:3#Reader:3, d=Database:1"
"main", "151", "ReadersWriters.java:50", "Line Step", " file=ReadersWriters.java, line=50"
"main", "152", "ReadersWriters.java:51", "Line Step", " file=ReadersWriters.java, line=51"
"main", "153", "ReadersWriters.java:51", "Field Write", " context=Reader:3, d=Database:1"
"main", "154", "ReadersWriters.java:52", "Line Step", " file=ReadersWriters.java, line=52"
"main", "155", "ReadersWriters.java:52", "Method Exit", " returner=Reader:3#Reader:3, value=<void>"
"main", "156", "ReadersWriters.java:20", "Method Returned", " "
"main", "157", "ReadersWriters.java:20", "Line Step", " file=ReadersWriters.java, line=20"
"main", "158", "ReadersWriters.java:20", "Variable Write", " context=ReadersWriters#main:1, r3=Reader:3"
"main", "159", "ReadersWriters.java:21", "Line Step", " file=ReadersWriters.java, line=21"
"main", "160", "ReadersWriters.java:21", "New Object", " object=Reader:4"
"main", "161", "ReadersWriters.java:21", "Method Call", " caller=ReadersWriters#main:1, target=Reader:4#Reader:4"
"main", "162", "ReadersWriters.java:50", "Method Entered", " "
"main", "163", "ReadersWriters.java:50", "Variable Write", " context=Reader:4#Reader:4, d=Database:1"
"main", "164", "ReadersWriters.java:50", "Line Step", " file=ReadersWriters.java, line=50"
"main", "165", "ReadersWriters.java:51", "Line Step", " file=ReadersWriters.java, line=51"
"main", "166", "ReadersWriters.java:51", "Field Write", " context=Reader:4, d=Database:1"
"main", "167", "ReadersWriters.java:52", "Line Step", " file=ReadersWriters.java, line=52"
"main", "168", "ReadersWriters.java:52", "Method Exit", " returner=Reader:4#Reader:4, value=<void>"
"main", "169", "ReadersWriters.java:21", "Method Returned", " "
"main", "170", "ReadersWriters.java:21", "Line Step", " file=ReadersWriters.java, line=21"
"main", "171", "ReadersWriters.java:21", "Variable Write", " context=ReadersWriters#main:1, r4=Reader:4"
"main", "172", "ReadersWriters.java:22", "Line Step", " file=ReadersWriters.java, line=22"
"main", "173", "ReadersWriters.java:22", "New Object", " object=Reader:5"
"main", "174", "ReadersWriters.java:22", "Method Call", " caller=ReadersWriters#main:1, target=Reader:5#Reader:5"
"main", "175", "ReadersWriters.java:50", "Method Entered", " "
"main", "176", "ReadersWriters.java:50", "Variable Write", " context=Reader:5#Reader:5, d=Database:1"
"main", "177", "ReadersWriters.java:50", "Line Step", " file=ReadersWriters.java, line=50"
"main", "178", "ReadersWriters.java:51", "Line Step", " file=ReadersWriters.java, line=51"
"main", "179", "ReadersWriters.java:51", "Field Write", " context=Reader:5, d=Database:1"
"main", "180", "ReadersWriters.java:52", "Line Step", " file=ReadersWriters.java, line=52"
"main", "181", "ReadersWriters.java:52", "Method Exit", " returner=Reader:5#Reader:5, value=<void>"
"main", "182", "ReadersWriters.java:22", "Method Returned", " "
"main", "183", "ReadersWriters.java:22", "Line Step", " file=ReadersWriters.java, line=22"
"main", "184", "ReadersWriters.java:22", "Variable Write", " context=ReadersWriters#main:1, r5=Reader:5"
"main", "185", "ReadersWriters.java:23", "Line Step", " file=ReadersWriters.java, line=23"
"main", "186", "ReadersWriters.java:23", "New Object", " object=Reader:6"
"main", "187", "ReadersWriters.java:23", "Method Call", " caller=ReadersWriters#main:1, target=Reader:6#Reader:6"
"main", "188", "ReadersWriters.java:50", "Method Entered", " "
"main", "189", "ReadersWriters.java:50", "Variable Write", " context=Reader:6#Reader:6, d=Database:1"
"main", "190", "ReadersWriters.java:50", "Line Step", " file=ReadersWriters.java, line=50"
"main", "191", "ReadersWriters.java:51", "Line Step", " file=ReadersWriters.java, line=51"
"main", "192", "ReadersWriters.java:51", "Field Write", " context=Reader:6, d=Database:1"
"main", "193", "ReadersWriters.java:52", "Line Step", " file=ReadersWriters.java, line=52"
"main", "194", "ReadersWriters.java:52", "Method Exit", " returner=Reader:6#Reader:6, value=<void>"
"main", "195", "ReadersWriters.java:23", "Method Returned", " "
"main", "196", "ReadersWriters.java:23", "Line Step", " file=ReadersWriters.java, line=23"
"main", "197", "ReadersWriters.java:23", "Variable Write", " context=ReadersWriters#main:1, r6=Reader:6"
"main", "198", "ReadersWriters.java:24", "Line Step", " file=ReadersWriters.java, line=24"
"main", "199", "ReadersWriters.java:24", "New Object", " object=Reader:7"
"main", "200", "ReadersWriters.java:24", "Method Call", " caller=ReadersWriters#main:1, target=Reader:7#Reader:7"
"main", "201", "ReadersWriters.java:50", "Method Entered", " "
"main", "202", "ReadersWriters.java:50", "Variable Write", " context=Reader:7#Reader:7, d=Database:1"
"main", "203", "ReadersWriters.java:50", "Line Step", " file=ReadersWriters.java, line=50"
"main", "204", "ReadersWriters.java:51", "Line Step", " file=ReadersWriters.java, line=51"
"main", "205", "ReadersWriters.java:51", "Field Write", " context=Reader:7, d=Database:1"
"main", "206", "ReadersWriters.java:52", "Line Step", " file=ReadersWriters.java, line=52"
"main", "207", "ReadersWriters.java:52", "Method Exit", " returner=Reader:7#Reader:7, value=<void>"
"main", "208", "ReadersWriters.java:24", "Method Returned", " "
"main", "209", "ReadersWriters.java:24", "Line Step", " file=ReadersWriters.java, line=24"
"main", "210", "ReadersWriters.java:24", "Variable Write", " context=ReadersWriters#main:1, r7=Reader:7"
"main", "211", "ReadersWriters.java:25", "Line Step", " file=ReadersWriters.java, line=25"
"main", "212", "ReadersWriters.java:25", "New Object", " object=Reader:8"
"main", "213", "ReadersWriters.java:25", "Method Call", " caller=ReadersWriters#main:1, target=Reader:8#Reader:8"
"main", "214", "ReadersWriters.java:50", "Method Entered", " "
"main", "215", "ReadersWriters.java:50", "Variable Write", " context=Reader:8#Reader:8, d=Database:1"
"main", "216", "ReadersWriters.java:50", "Line Step", " file=ReadersWriters.java, line=50"
"main", "217", "ReadersWriters.java:51", "Line Step", " file=ReadersWriters.java, line=51"
